Match Count,46
,הרב דוד דגגה פרשת בא תשעז.avi,No
,הרב דוד דגגה פרשת בהר בחוקותיי תשפא.mp4,No
,הרב דוד דגגה פרשת בהר תשפד.mp4,No
,הרב דוד דגגה פרשת בהר-בחוקותיי תשפג.mp4,No
,הרב דוד דגגה פרשת בלק תשעז.avi,No
,הרב דוד דגגה פרשת בלק תשפ.mp4,No
,הרב דוד דגגה פרשת בלק תשפב.mp4,No
,הרב דוד דגגה פרשת במדבר תשעז.avi,No
,הרב דוד דגגה פרשת במדבר תשפג.mp4,No
,הרב דוד דגגה פרשת בראשית תשפא .mp4,No
,הרב דוד דגגה פרשת ויגש תשפד.mp4,No
,הרב דוד דגגה פרשת ויצא תשעז.avi,No
,הרב דוד דגגה פרשת ויקהל תשפד.mp4,No
,הרב דוד דגגה פרשת ויקהל תששפג.mp4,No
,הרב דוד דגגה פרשת וירא תשפג.mp4,No
,הרב דוד דגגה פרשת וירא תשפד.mp4,No
,הרב דוד דגגה פרשת וישב תשפג.mp4,No
,הרב דוד דגגה פרשת וישלח תשעח.avi,No
,הרב דוד דגגה פרשת חוקת תשפב.mp4,No
,הרב דוד דגגה פרשת חיי שרה תשפד.mp4,No
,הרב דוד דגגה פרשת חקת תשעז.avi,No
,הרב דוד דגגה פרשת יתרו תשעז.avi,No
,הרב דוד דגגה פרשת יתרו תשעח (2).avi,No
,הרב דוד דגגה פרשת כי תצא תשעו.avi,No
,הרב דוד דגגה פרשת כי תצא תשפ.mp4,No
,הרב דוד דגגה פרשת לך לך תשפד.mp4,No
,הרב דוד דגגה פרשת מטות תשעז.avi,No
,הרב דוד דגגה פרשת מטות תשפב.mp4,No
,הרב דוד דגגה פרשת מסעי תשפב.mp4,No
,הרב דוד דגגה פרשת משפטים תשעח.avi,No
,הרב דוד דגגה פרשת משפטים תשפ בית כנסת חיים שאל אלעד.avi,No
,הרב דוד דגגה פרשת נח תשפד.mp4,No
,הרב דוד דגגה פרשת ניצבים תשעו.avi,No
,הרב דוד דגגה פרשת עקב תשפד.mp4,No
,הרב דוד דגגה פרשת פנחס תשעז.avi,No
,הרב דוד דגגה פרשת פנחס תשפב.mp4,No
,הרב דוד דגגה פרשת פנחס תשפג.mp4,No
,הרב דוד דגגה פרשת קרח תשפב.mp4,No
,הרב דוד דגגה פרשת ראה תשפד.mp4,No
,הרב דוד דגגה פרשת שופטים תשפד.mp4,No
,הרב דוד דגגה פרשת שלח תשפג.mp4,No
